controlled_company_number,controller_company_number,controller_name,notified_on,ceased_on,ceased,nature_of_control,legal_form,legal_authority,country_registered,place_registered,psc_kind,source_url,etag,depth_from_root
SC489591,SC489526,Aberdeen Roads Holdings Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Limited By Shares,United Kingdom (Scotland),Scotland,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/SC489591/persons-with-significant-control/corporate-entity/-8mZIApmcYZ4Y8p6B5V1fElvJEs,f676a06a63de53d65c7dfa4c040f3048d43eaf38,4
SC489591,SC489526,Aberdeen Roads Holdings Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Limited By Shares,United Kingdom (Scotland),Scotland,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/SC489591/persons-with-significant-control/corporate-entity/-8mZIApmcYZ4Y8p6B5V1fElvJEs,f676a06a63de53d65c7dfa4c040f3048d43eaf38,4
SC489591,SC489526,Aberdeen Roads Holdings Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Limited By Shares,United Kingdom (Scotland),Scotland,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/SC489591/persons-with-significant-control/corporate-entity/-8mZIApmcYZ4Y8p6B5V1fElvJEs,f676a06a63de53d65c7dfa4c040f3048d43eaf38,4
12752167,07211684,Pfp Igloo (General Partner) Limited,2020-07-19,2024-05-24,true,ownership-of-shares-75-to-100-percent,Limited By Guarantee,English Law,England And Wales,"Companies House, Uk",corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/12752167/persons-with-significant-control/corporate-entity/m8JWG4CJMN_5t1zbqYJjAJdpIYU,a6b88f25c86381d23efca1b8374479a4142a50a3,3
12752167,07211684,Pfp Igloo (General Partner) Limited,2020-07-19,2024-05-24,true,right-to-appoint-and-remove-directors,Limited By Guarantee,English Law,England And Wales,"Companies House, Uk",corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/12752167/persons-with-significant-control/corporate-entity/m8JWG4CJMN_5t1zbqYJjAJdpIYU,a6b88f25c86381d23efca1b8374479a4142a50a3,3
12752167,07211684,Pfp Igloo (General Partner) Limited,2020-07-19,2024-05-24,true,voting-rights-75-to-100-percent,Limited By Guarantee,English Law,England And Wales,"Companies House, Uk",corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/12752167/persons-with-significant-control/corporate-entity/m8JWG4CJMN_5t1zbqYJjAJdpIYU,a6b88f25c86381d23efca1b8374479a4142a50a3,3
00159414,00594581,Carillion Construction Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/00159414/persons-with-significant-control/corporate-entity/61iI6wCH5PjLfvks5evUmC8xksQ,163126e83669ee62bc69d9238288e4913218a856,2
00159414,00594581,Carillion Construction Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/00159414/persons-with-significant-control/corporate-entity/61iI6wCH5PjLfvks5evUmC8xksQ,163126e83669ee62bc69d9238288e4913218a856,2
00159414,00594581,Carillion Construction Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/00159414/persons-with-significant-control/corporate-entity/61iI6wCH5PjLfvks5evUmC8xksQ,163126e83669ee62bc69d9238288e4913218a856,2
06436101,06436121,Inspiredspaces Stag (Psp1) Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Limited By Shares,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/06436101/persons-with-significant-control/corporate-entity/OhOIKA8KGf4Bwhi0XinCJ4ULHIQ,aafac2a2b0177aefd94e5881cf601fda3e02312e,4
06436101,06436121,Inspiredspaces Stag (Psp1) Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Limited By Shares,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/06436101/persons-with-significant-control/corporate-entity/OhOIKA8KGf4Bwhi0XinCJ4ULHIQ,aafac2a2b0177aefd94e5881cf601fda3e02312e,4
06436121,08113991,Amber Lep Investments Limited,2016-04-06,2021-12-21,true,ownership-of-shares-50-to-75-percent,Limited By Shares,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/06436121/persons-with-significant-control/corporate-entity/ObvGySJk6zl6wTfInafAoXk4bK0,002f7035b1cd2ed064a977cbf1a54c8a1f6f2b38,3
06436121,08113991,Amber Lep Investments Limited,2016-04-06,2021-12-21,true,voting-rights-50-to-75-percent,Limited By Shares,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/06436121/persons-with-significant-control/corporate-entity/ObvGySJk6zl6wTfInafAoXk4bK0,002f7035b1cd2ed064a977cbf1a54c8a1f6f2b38,3
OC394705,01469541,Carillion (Maple Oak) Limited,2016-04-06,2019-03-08,true,voting-rights-25-to-50-percent-limited-liability-partnership,Limited Company,Companies Act,West Midlands,England,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/OC394705/persons-with-significant-control/corporate-entity/XAEcZJ5jAx9M8NvM6cndTFM2pyM,aaa40e224b4f8d889257aeb0c0d4eb982de6055b,3
08751752,08684413,Carillion Private Finance (Health) 2013 Limited,2016-04-06,,false,ownership-of-shares-25-to-50-percent,Private Limited Company,Companies Act 2006,England And Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/08751752/persons-with-significant-control/corporate-entity/gEPaIYbMCXnQO9wYz7zkqYbv9Uw,f1cd5161911660832eacea6bafe9208dd3424563,3
08751752,08684413,Carillion Private Finance (Health) 2013 Limited,2016-04-06,,false,voting-rights-25-to-50-percent,Private Limited Company,Companies Act 2006,England And Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/08751752/persons-with-significant-control/corporate-entity/gEPaIYbMCXnQO9wYz7zkqYbv9Uw,f1cd5161911660832eacea6bafe9208dd3424563,3
09822833,09822736,Carillion Private Finance (Health) 2015 Limited,2016-04-06,,false,ownership-of-shares-25-to-50-percent,Private Limited Company,Companies Act 2006,England And Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/09822833/persons-with-significant-control/corporate-entity/sK4rLcAVnSZPfJ2RK8j2ExdT5gw,94e0ce539ca3faa5a1105ae8f6f6b4541d186aa0,3
09822833,09822736,Carillion Private Finance (Health) 2015 Limited,2016-04-06,,false,voting-rights-25-to-50-percent,Private Limited Company,Companies Act 2006,England And Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/09822833/persons-with-significant-control/corporate-entity/sK4rLcAVnSZPfJ2RK8j2ExdT5gw,94e0ce539ca3faa5a1105ae8f6f6b4541d186aa0,3
05769525,03858865,Carillion Energy Services Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05769525/persons-with-significant-control/corporate-entity/GLVSVrvJWSJdQC7kzSmeYASYTo4,7636c457ac7d76b7d6b32d331443fc501447704e,2
05769525,03858865,Carillion Energy Services Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05769525/persons-with-significant-control/corporate-entity/GLVSVrvJWSJdQC7kzSmeYASYTo4,7636c457ac7d76b7d6b32d331443fc501447704e,2
05769525,03858865,Carillion Energy Services Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05769525/persons-with-significant-control/corporate-entity/GLVSVrvJWSJdQC7kzSmeYASYTo4,7636c457ac7d76b7d6b32d331443fc501447704e,2
01273373,01808326,Am Nominees Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/01273373/persons-with-significant-control/corporate-entity/VDkCXRke3SldBF1GWf4y6hg6Dzg,3f1c24c53c0652b27043b440de4f95e26c23b8c3,3
01273373,01808326,Am Nominees Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/01273373/persons-with-significant-control/corporate-entity/VDkCXRke3SldBF1GWf4y6hg6Dzg,3f1c24c53c0652b27043b440de4f95e26c23b8c3,3
01273373,01808326,Am Nominees Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/01273373/persons-with-significant-control/corporate-entity/VDkCXRke3SldBF1GWf4y6hg6Dzg,3f1c24c53c0652b27043b440de4f95e26c23b8c3,3
05848066,01685693,Carillion Am Developments Limited,2018-02-22,2018-03-07,true,ownership-of-shares-75-to-100-percent,Limited By Shares,United Kingdom (England),England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05848066/persons-with-significant-control/corporate-entity/NpnByHzmpcEPHYGslwsF5acrhS4,4d7528a40757e2cce1168d5441270f7a26dba48a,3
05848066,01685693,Carillion Am Developments Limited,2018-02-22,2018-03-07,true,voting-rights-75-to-100-percent,Limited By Shares,United Kingdom (England),England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05848066/persons-with-significant-control/corporate-entity/NpnByHzmpcEPHYGslwsF5acrhS4,4d7528a40757e2cce1168d5441270f7a26dba48a,3
02489314,00594581,Carillion Construction Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/02489314/persons-with-significant-control/corporate-entity/6tpgOEE0L7PD6ePdtlonjVt3vuc,1a8e60fd9945051fbeed097c0284268f0821a5a7,2
02489314,00594581,Carillion Construction Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/02489314/persons-with-significant-control/corporate-entity/6tpgOEE0L7PD6ePdtlonjVt3vuc,1a8e60fd9945051fbeed097c0284268f0821a5a7,2
02489314,00594581,Carillion Construction Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/02489314/persons-with-significant-control/corporate-entity/6tpgOEE0L7PD6ePdtlonjVt3vuc,1a8e60fd9945051fbeed097c0284268f0821a5a7,2
05477550,01685693,Carillion Am Developments Limited,2018-02-22,2018-03-07,true,ownership-of-shares-75-to-100-percent,Limited By Shares,United Kingdom (England),England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05477550/persons-with-significant-control/corporate-entity/PAm__beq5QBbGFP7C7mrOnRStPM,acf1fa43aeeff10256bd113017eab298e6eabc11,3
05477550,01685693,Carillion Am Developments Limited,2018-02-22,2018-03-07,true,voting-rights-75-to-100-percent,Limited By Shares,United Kingdom (England),England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05477550/persons-with-significant-control/corporate-entity/PAm__beq5QBbGFP7C7mrOnRStPM,acf1fa43aeeff10256bd113017eab298e6eabc11,3
14419831,07211684,Pfp-Igloo (General Partner) Limited In Its Capacity As General Partner For And On Behalf Of Pfp-Igloo Limited Partnership,2022-10-14,,false,ownership-of-shares-25-to-50-percent,Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/14419831/persons-with-significant-control/corporate-entity/MZnTy_eTw9OCiWSxPlwXx1TIiEQ,dce8baf85d3aad8107ac3a7cbda945fdcfc3c4fe,3
14419831,07211684,Pfp-Igloo (General Partner) Limited In Its Capacity As General Partner For And On Behalf Of Pfp-Igloo Limited Partnership,2022-10-14,,false,voting-rights-25-to-50-percent,Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/14419831/persons-with-significant-control/corporate-entity/MZnTy_eTw9OCiWSxPlwXx1TIiEQ,dce8baf85d3aad8107ac3a7cbda945fdcfc3c4fe,3
03256112,00594581,Carillion Construction Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/03256112/persons-with-significant-control/corporate-entity/RfqGJ_6U_kPEOAcVXL1Yk60cFIo,133736ae62a870dde0366b4fe6eab08df706c823,2
03256112,00594581,Carillion Construction Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/03256112/persons-with-significant-control/corporate-entity/RfqGJ_6U_kPEOAcVXL1Yk60cFIo,133736ae62a870dde0366b4fe6eab08df706c823,2
03256112,00594581,Carillion Construction Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/03256112/persons-with-significant-control/corporate-entity/RfqGJ_6U_kPEOAcVXL1Yk60cFIo,133736ae62a870dde0366b4fe6eab08df706c823,2
08114163,08113991,Amber Lep Investments Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/08114163/persons-with-significant-control/corporate-entity/yAUacgB2fh3hv-r5QlASC5BeKB4,9aaf9d1fb0349d04b1e14b9d4dee809c77c105e1,3
08114163,08113991,Amber Lep Investments Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/08114163/persons-with-significant-control/corporate-entity/yAUacgB2fh3hv-r5QlASC5BeKB4,9aaf9d1fb0349d04b1e14b9d4dee809c77c105e1,3
08684413,02997859,Carillion Private Finance Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/08684413/persons-with-significant-control/corporate-entity/pcB_Zqgr7uZk2ZGr_EKDI1mX3E4,5a00a9da456cca2628352d267bd97eab0f07fee2,2
08684413,02997859,Carillion Private Finance Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/08684413/persons-with-significant-control/corporate-entity/pcB_Zqgr7uZk2ZGr_EKDI1mX3E4,5a00a9da456cca2628352d267bd97eab0f07fee2,2
08684413,02997859,Carillion Private Finance Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/08684413/persons-with-significant-control/corporate-entity/pcB_Zqgr7uZk2ZGr_EKDI1mX3E4,5a00a9da456cca2628352d267bd97eab0f07fee2,2
00662675,01367044,Carillion (Am) Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/00662675/persons-with-significant-control/corporate-entity/5kdpKtfK8fUUG58ci-QeOZU2mSU,22ec9eec1d6d84f768be7813653162bd44304e25,2
00662675,01367044,Carillion (Am) Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/00662675/persons-with-significant-control/corporate-entity/5kdpKtfK8fUUG58ci-QeOZU2mSU,22ec9eec1d6d84f768be7813653162bd44304e25,2
00662675,01367044,Carillion (Am) Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/00662675/persons-with-significant-control/corporate-entity/5kdpKtfK8fUUG58ci-QeOZU2mSU,22ec9eec1d6d84f768be7813653162bd44304e25,2
01367044,03782379,Carillion Plc,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Public Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/01367044/persons-with-significant-control/corporate-entity/Fy2Botg_w7rW-v5SIQehRx9OyFY,52f14c52861aac7bea8d93ffabee3e37670f5f33,1
01367044,03782379,Carillion Plc,2016-04-06,,false,right-to-appoint-and-remove-directors,Public Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/01367044/persons-with-significant-control/corporate-entity/Fy2Botg_w7rW-v5SIQehRx9OyFY,52f14c52861aac7bea8d93ffabee3e37670f5f33,1
01367044,03782379,Carillion Plc,2016-04-06,,false,voting-rights-75-to-100-percent,Public Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/01367044/persons-with-significant-control/corporate-entity/Fy2Botg_w7rW-v5SIQehRx9OyFY,52f14c52861aac7bea8d93ffabee3e37670f5f33,1
00885404,01367044,Carillion (Am) Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/00885404/persons-with-significant-control/corporate-entity/_xdXwFC2y0LA6d0SNhMRyh10oq8,f5f2fd51d5c805bdf0d71714998f8fde3fb6d880,2
00885404,01367044,Carillion (Am) Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/00885404/persons-with-significant-control/corporate-entity/_xdXwFC2y0LA6d0SNhMRyh10oq8,f5f2fd51d5c805bdf0d71714998f8fde3fb6d880,2
00885404,01367044,Carillion (Am) Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/00885404/persons-with-significant-control/corporate-entity/_xdXwFC2y0LA6d0SNhMRyh10oq8,f5f2fd51d5c805bdf0d71714998f8fde3fb6d880,2
09684392,02997859,Carillion Private Finance Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/09684392/persons-with-significant-control/corporate-entity/4Jt-R4oPi_xP-9yOGck6KlbVrN4,2ee403d1b0478d207a45a5acddc24df3b8a3e843,2
09684392,02997859,Carillion Private Finance Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/09684392/persons-with-significant-control/corporate-entity/4Jt-R4oPi_xP-9yOGck6KlbVrN4,2ee403d1b0478d207a45a5acddc24df3b8a3e843,2
09684392,02997859,Carillion Private Finance Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/09684392/persons-with-significant-control/corporate-entity/4Jt-R4oPi_xP-9yOGck6KlbVrN4,2ee403d1b0478d207a45a5acddc24df3b8a3e843,2
00247624,01367044,Carillion (Am) Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/00247624/persons-with-significant-control/corporate-entity/Qg5wy5mD2MRTNYt8y35e3rdSxw8,f51b7cc342f6e55dbf254a5e27cf23d2a2200222,2
00247624,01367044,Carillion (Am) Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/00247624/persons-with-significant-control/corporate-entity/Qg5wy5mD2MRTNYt8y35e3rdSxw8,f51b7cc342f6e55dbf254a5e27cf23d2a2200222,2
00247624,01367044,Carillion (Am) Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/00247624/persons-with-significant-control/corporate-entity/Qg5wy5mD2MRTNYt8y35e3rdSxw8,f51b7cc342f6e55dbf254a5e27cf23d2a2200222,2
01052014,03858865,Carillion Energy Services Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/01052014/persons-with-significant-control/corporate-entity/Lf-NtY0_QfdyYwLCpWGIW-IUAZc,229c7931701e128a5b075d9f6d55431c164ef417,2
01052014,03858865,Carillion Energy Services Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/01052014/persons-with-significant-control/corporate-entity/Lf-NtY0_QfdyYwLCpWGIW-IUAZc,229c7931701e128a5b075d9f6d55431c164ef417,2
01052014,03858865,Carillion Energy Services Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/01052014/persons-with-significant-control/corporate-entity/Lf-NtY0_QfdyYwLCpWGIW-IUAZc,229c7931701e128a5b075d9f6d55431c164ef417,2
07211684,00594581,Carillion Construction Limited,2016-04-06,2018-02-07,true,ownership-of-shares-25-to-50-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/07211684/persons-with-significant-control/corporate-entity/ZWl-0uWA2WXBiluLBHe88ePMgHA,f2768b96b84a3235ad54849e2813511204619062,2
07211684,00594581,Carillion Construction Limited,2016-04-06,2018-02-07,true,voting-rights-25-to-50-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/07211684/persons-with-significant-control/corporate-entity/ZWl-0uWA2WXBiluLBHe88ePMgHA,f2768b96b84a3235ad54849e2813511204619062,2
01686252,03858865,Carillion Energy Services Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/01686252/persons-with-significant-control/corporate-entity/mbYge_jWq1Ev9KeIuk7nnOUzeCE,74ab7924dd7ec16aa0140d5679501fbc185058ee,2
01686252,03858865,Carillion Energy Services Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/01686252/persons-with-significant-control/corporate-entity/mbYge_jWq1Ev9KeIuk7nnOUzeCE,74ab7924dd7ec16aa0140d5679501fbc185058ee,2
01686252,03858865,Carillion Energy Services Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/01686252/persons-with-significant-control/corporate-entity/mbYge_jWq1Ev9KeIuk7nnOUzeCE,74ab7924dd7ec16aa0140d5679501fbc185058ee,2
05554245,07410965,Wattbike (Holdings) Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Limited By Shares,Companies Act,United Kingdom,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05554245/persons-with-significant-control/corporate-entity/1qx4FJRtE_BtXrwiu-07DCvDyEE,94053c04a967ed7245db336a13055abf6e23ded5,5
05554245,07410965,Wattbike (Holdings) Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Limited By Shares,Companies Act,United Kingdom,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05554245/persons-with-significant-control/corporate-entity/1qx4FJRtE_BtXrwiu-07DCvDyEE,94053c04a967ed7245db336a13055abf6e23ded5,5
05554245,07410965,Wattbike (Holdings) Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Limited By Shares,Companies Act,United Kingdom,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05554245/persons-with-significant-control/corporate-entity/1qx4FJRtE_BtXrwiu-07DCvDyEE,94053c04a967ed7245db336a13055abf6e23ded5,5
02995513,03126198,Gt Railway Maintenance Holdings Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Limited By Shares,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/02995513/persons-with-significant-control/corporate-entity/cW633nXKhcS6ua-Dm47T81qoo1I,9e518d85c886a2cfc8a0ffb6f6e7e079a84ceb50,2
02995513,03126198,Gt Railway Maintenance Holdings Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Limited By Shares,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/02995513/persons-with-significant-control/corporate-entity/cW633nXKhcS6ua-Dm47T81qoo1I,9e518d85c886a2cfc8a0ffb6f6e7e079a84ceb50,2
02995513,03126198,Gt Railway Maintenance Holdings Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Limited By Shares,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/02995513/persons-with-significant-control/corporate-entity/cW633nXKhcS6ua-Dm47T81qoo1I,9e518d85c886a2cfc8a0ffb6f6e7e079a84ceb50,2
09799665,01469541,Carillion (Maple Oak) Limited,2016-04-06,2017-12-08,true,ownership-of-shares-25-to-50-percent,Private Limited Company,Companies Act 2006,England And Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/09799665/persons-with-significant-control/corporate-entity/FNIbyfj6ZetNT6Of8J5iniA0dmw,3d23c7bd3a1e2d3c41353352a5ce7f2ba45467a6,3
09799665,01469541,Carillion (Maple Oak) Limited,2016-04-06,2017-12-08,true,voting-rights-25-to-50-percent,Private Limited Company,Companies Act 2006,England And Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/09799665/persons-with-significant-control/corporate-entity/FNIbyfj6ZetNT6Of8J5iniA0dmw,3d23c7bd3a1e2d3c41353352a5ce7f2ba45467a6,3
04135060,02217605,Sovereign Harbour Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/04135060/persons-with-significant-control/corporate-entity/xQVKKDjocFXf1pMv71Q07zvL2LI,3490bf68b5657bf5f8c552900742f2b6f8595da2,3
